idInstituicao,siglaInstituicaoUnidade,sigla,nomeIES,unidade,distritoFederal,distritoSameAsWikidata,distritoSameAsDbpedia,distritoSameAsGeoNames,distritoFederalReconciliado,instituicaoCoordenadaDeLocalizacaoDistritoFederal,idCidade,cidade,estado,pais,paginaWeb,instituicaoReconciliada,instituicaoISNI,instituicaoCoordenadaDeLocalizacao,instituicaoSameAsWikidata,instituicaoCodigoWikidata,instituicaoSameAsDbpedia,instituicaoCodigoSameAsDbpedia,cidadeReconciliada,cidadeCodigoMunicipalidade,cidadeArea,cidadeCoordenadaDeLocalizacao,cidadeSameAsWikidata,cidadeCodigoWikidata,cidadeSameAsDbpedia,cidadeSameAsGeoNames,cidadeCodigoGeoNames,estadoReconciliado,estadoArea,estadoCoordenadaDeLocalizacao,estadoSameAsWikidata,estadoCodigo,estadoSameAsDbpedia,estadoSameAsGeoNames,estadoCodigoGeoNames,paisReconciliado,paisArea,paisCoordenadaDeLocalizacao,paisSameAsWikidata,paisCodigo,paisSameAsDbpedia,paisSameAsGeoNames,paisCodigoGeoNames
INS0001,UFES - campus Vitória,UFES,Universidade Federal do Espírito Santo,Campus Vitória,,,,,,,CID0001,Vitória,Espírito Santo,Brasil,https://www.ufes.br/,Federal University of Espírito Santo,0000 0001 2167 4168,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q10387830,Q10387830,http://dbpedia.org/resource/Universidade_Federal_do_Espírito_Santo,Universidade_Federal_do_Espírito_Santo,Victory,3205309,96.536,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q168376,Q168376,"https://dbpedia.org/resource/Vit%C3%B3ria,_Esp%C3%ADrito_Santo",https://sws.geonames.org/6322000,6322000,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0002,UFES - campus Alegre,UFES,Universidade Federal do Espírito Santo,Campus Alegre,,,,,,,CID0003,Alegre,Espírito Santo,Brasil,https://alegre.ufes.br/,Federal University of Espírito Santo,0000 0001 2167 4168,"-20.763888888889,-41.532777777778",https://www.wikidata.org/entity/Q10387830,Q10387830,http://dbpedia.org/resource/Universidade_Federal_do_Espírito_Santo,Universidade_Federal_do_Espírito_Santo,Happy,3200201,772.714,"-20.763888888889,-41.532777777778",https://www.wikidata.org/entity/Q1807909,Q1807909,https://dbpedia.org/resource/Alegre_(Esp%C3%ADrito_Santo),https://sws.geonames.org/6324236,6324236,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0003,UFES - campus Goiabeiras,UFES,Universidade Federal do Espírito Santo,Campus Goiabeiras,,,,,,,CID0001,Vitória,Espírito Santo,Brasil,https://www.ufes.br/,Federal University of Espírito Santo,0000 0001 2167 4168,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q10387830,Q10387830,http://dbpedia.org/resource/Universidade_Federal_do_Espírito_Santo,Universidade_Federal_do_Espírito_Santo,Victoria,3205309,96.536,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q168376,Q168376,"https://dbpedia.org/resource/Vit%C3%B3ria,_Esp%C3%ADrito_Santo",https://sws.geonames.org/6322000,6322000,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0004,UFES - campus Maruípe,UFES,Universidade Federal do Espírito Santo,Campus Maruípe,,,,,,,CID0001,Vitória,Espírito Santo,Brasil,https://ccs.ufes.br/,Federal University of Espírito Santo,0000 0001 2167 4168,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q10387830,Q10387830,http://dbpedia.org/resource/Universidade_Federal_do_Espírito_Santo,Universidade_Federal_do_Espírito_Santo,Victoria,3205309,96.536,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q168376,Q168376,"https://dbpedia.org/resource/Vit%C3%B3ria,_Esp%C3%ADrito_Santo",https://sws.geonames.org/6322000,6322000,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0005,UFES - campus São Mateus,UFES,Universidade Federal do Espírito Santo,Campus São Mateus,,,,,,,CID0002,São Mateus,Espírito Santo,Brasil,https://saomateus.ufes.br/,Federal University of Espírito Santo,0000 0001 2167 4168,"-18.715833333333,-39.858888888889",https://www.wikidata.org/entity/Q10387830,Q10387830,http://dbpedia.org/resource/Universidade_Federal_do_Espírito_Santo,Universidade_Federal_do_Espírito_Santo,Saint Matthew,3204906,2338.727,"-18.715833333333,-39.858888888889",https://www.wikidata.org/entity/Q1763574,Q1763574,"https://dbpedia.org/resource/São_Mateus,_Espírito_Santo",https://sws.geonames.org/6321990,6321990,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0006,IFES - campus Vitória,IFES,Instituto Federal do Espírito Santo,Campus Vitória,,,,,,,CID0001,Vitória,Espírito Santo,Brasil,https://vitoria.ifes.edu.br/,Instituto Federal do Espírito Santo,0000 0004 0417 8332,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q10302497,Q10302497,http://dbpedia.org/resource/Instituto_Federal_do_Espírito_Santo,Instituto_Federal_do_Espírito_Santo,Victoria,3205309,96.536,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q168376,Q168376,"https://dbpedia.org/resource/Vit%C3%B3ria,_Esp%C3%ADrito_Santo",https://sws.geonames.org/6322001,6322001,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0007,UFSC - campus Trindade,UFSC,Universidade Federal de Santa Catarina,Campus Trindade,,,,,,,CID0004,Florianópolis,Santa Catarina,Brasil,https://ufsc.br/,Universidade Federal de Santa Catarina,0000 0001 2188 7235,"-27.593280555556,-48.553047222222",https://www.wikidata.org/entity/Q1851075,Q1851075,http://dbpedia.org/resource/Universidade_Federal_de_Santa_Catarina,Universidade_Federal_de_Santa_Catarina,Florianopolis,4205407,675.409,"-27.593280555556,-48.553047222222",https://www.wikidata.org/entity/Q132997,Q132997,https://dbpedia.org/resource/Florianópolis,https://sws.geonames.org/3463237,3463237,Holy Catharina,95730.7,"-27.27,-50.49",https://www.wikidata.org/wiki/Q41115,Q41115,http://dbpedia.org/resource/Santa_Catarina,http://www.geonames.org/3450387,3450387,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0008,UnB - campus Darcy Ribeiro,UnB,Universidade de Brasília,Campus Darcy Ribeiro,Brasília,https://www.wikidata.org/entity/Q2844,https://dbpedia.org/resource/Brasília,https://sws.geonames.org/3469058,Brasília,"-15.793888888889,-47.882777777778",,,,Brasil,https://www.unb.br/,University of Brasília,0000 0001 2238 5157,,https://www.wikidata.org/entity/Q1330634,Q1330634,http://dbpedia.org/resource/Universidade_de_Brasília,Universidade_de_Brasília,Brasilia,,,,,,,,,,,,,,,,,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0009,UFJF - campus Juiz de Fora,UFJF,Universidade Federal de Juiz de Fora,Campus Juiz de Fora,,,,,,,CID0005,Juiz de Fora,Minas Gerais,Brasil,https://www2.ufjf.br/ufjf/,Federal University of Juiz de Fora,0000 0001 2170 9332,"-21.75,-43.35",https://www.wikidata.org/entity/Q7894373,Q7894373,http://dbpedia.org/resource/Universidade_Federal_de_Juiz_de_Fora,Universidade_Federal_de_Juiz_de_Fora,Judge of the Outside,3136702,1436.85,"-21.75,-43.35",https://www.wikidata.org/entity/Q193019,Q193019,https://dbpedia.org/resource/Juiz_de_fora,https://sws.geonames.org/3459505,3459505,General Mines ,586514,"-18.95,-44.56666666666667",https://www.wikidata.org/wiki/Q39109,Q39109,http://dbpedia.org/resource/Minas_Gerais,http://www.geonames.org/3457153,3457153,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0010,UFRN - campus Central,UFRN,Universidade Federal do Rio Grande do Norte,Campus Central,,,,,,,CID0006,Natal,Rio Grande do Norte,Brasil,https://www.ufrn.br/,Federal University of Rio Grande do Norte,0000 0000 9687 399X,"-5.795,-35.208888888889",https://www.wikidata.org/entity/Q3847505,Q3847505,http://dbpedia.org/resource/Universidade_Federal_do_Rio_Grande_do_Norte,Universidade_Federal_do_Rio_Grande_do_Norte,Christmas,2408102,167.264,"-5.795,-35.208888888889",https://www.wikidata.org/entity/Q131620,Q131620,https://dbpedia.org/resource/Natal_(Rio_Grande_do_Norte),https://sws.geonames.org/3394023,3394023,Big Northern River,53306.8,"-5.74,-36.55",https://www.wikidata.org/wiki/Q43255,Q43255,http://dbpedia.org/resource/Rio_Grande_do_Norte,http://www.geonames.org/3390290,3390290,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0011,UFMG - campus Pampulha,UFMG,Universidade Federal de Minas Gerais,Campus Pampulha,,,,,,,CID0007,Belo Horizonte,Minas Gerais,Brasil,https://ufmg.br/,Federal University of Minas Gerais,0000 0001 2181 4888,"-19.928055555555556,-43.941944444444445",https://www.wikidata.org/entity/Q132140,Q132140,http://dbpedia.org/resource/Universidade_Federal_de_Minas_Gerais,Universidade_Federal_de_Minas_Gerais,Bealtiful Horizon,3106200,330.9,"-19.928055555555556,-43.941944444444445",https://www.wikidata.org/entity/Q42800,Q42800,https://dbpedia.org/resource/Belo_Horizonte,https://sws.geonames.org/3470127,3470127,General Mines ,586514,"-18.95,-44.56666666666667",https://www.wikidata.org/wiki/Q39109,Q39109,http://dbpedia.org/resource/Minas_Gerais,http://www.geonames.org/3457153,3457153,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0012,UFF - campus de Niterói,UFF,Universidade Federal Fluminense,Campus de Niterói,,,,,,,CID0008,Niterói,Rio de Janeiro,Brasil,https://www.uff.br/,Fluminense Federal University,0000 0001 2184 6919,"-22.883333333333,-43.103611111111",https://www.wikidata.org/entity/Q280247,Q280247,http://dbpedia.org/resource/Universidade_Federal_Fluminense,Universidade_Federal_Fluminense,Nieteroi,3303302,133.916,"-22.883333333333,-43.103611111111",https://www.wikidata.org/entity/Q178725,Q178725,https://dbpedia.org/resource/Niterói,https://sws.geonames.org/3456283,3456283,River of the January,43696.1,"-22.033333333333335,-42.7",https://www.wikidata.org/wiki/Q8678,Q8678,http://dbpedia.org/resource/Rio_de_Janeiro,http://www.geonames.org/3451189,3451189,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0013,PUC-Rio - campus da Gávea,PUC-Rio,Pontifícia Universidade Católica do Rio de Janeiro,Campus da Gávea,,,,,,,CID0009,Rio de Janeiro,Rio de Janeiro,Brasil,https://www.puc-rio.br/index.html,Pontifical Catholic University of Rio de Janeiro,0000 0001 2323 852X,"-22.91111111111111,-43.205555555555556",https://www.wikidata.org/entity/Q1857293,Q1857293,http://dbpedia.org/resource/Pontifícia_Universidade_Católica_do_Rio_de_Janeiro,Pontifícia_Universidade_Católica_do_Rio_de_Janeiro,River of the January,3304557,1260.029215,"-22.91111111111111,-43.205555555555556",https://www.wikidata.org/entity/Q8678,Q8678,https://dbpedia.org/resource/Rio_de_Janeiro,https://sws.geonames.org/3451190,3451190,River of the January,43696.1,"-22.033333333333335,-42.7",https://www.wikidata.org/wiki/Q8678,Q8678,http://dbpedia.org/resource/Rio_de_Janeiro,http://www.geonames.org/3451189,3451189,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,
INS0014,UEL - campus Universitário,UEL,Universidade Estadual de Londrina,Campus Universitário,,,,,,,CID0010,Londrina,Paraná,Brasil,https://portal.uel.br/home/,State University of Londrina,0000 0001 2193 3537,"-23.31,-51.162777777778",https://www.wikidata.org/entity/Q7894364,Q7894364,http://dbpedia.org/resource/Universidade_Estadual_de_Londrina,Universidade_Estadual_de_Londrina,Parana,4113700,1653.075,"-23.31,-51.162777777778",https://www.wikidata.org/entity/Q192387,Q192387,https://dbpedia.org/resource/Londrina,https://sws.geonames.org/,3458449,Parana,199314.9,"-24.67,-51.62",https://www.wikidata.org/wiki/Q15499,Q15499,http://dbpedia.org/resource/Paraná,http://www.geonames.org/3455077,3455077,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0015,UNESP - campus Bauru,UNESP,Universidade Estadual Paulista,Campus Bauru,,,,,,,CID0011,Bauru,São Paulo,Brasil,https://www2.unesp.br/,São Paulo State University,0000 0001 2096 9781,"-22.314722222222,-49.060555555556",https://www.wikidata.org/entity/Q1817137,Q1817137,http://dbpedia.org/resource/Universidade_Estadual_Paulista,Universidade_Estadual_Paulista,Bauru,3506003,667.684,"-22.314722222222,-49.060555555556",https://www.wikidata.org/entity/Q241645,Q241645,https://dbpedia.org/resource/Bauru,https://sws.geonames.org/,3470279,Sao Paul,248209.4,"-22.15,-48.93333333333333",https://www.wikidata.org/wiki/Q174,Q174,http://dbpedia.org/resource/São_Paulo,http://www.geonames.org/3448433,3448433,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0016,UNIRIO - campus Pasteur,UNIRIO,Universidade Federal do Estado do Rio de Janeiro,Campus Pasteur,,,,,,,CID0009,Rio de Janeiro,Rio de Janeiro,Brasil,http://www.unirio.br/,Federal University of the State of Rio de Janeiro,0000 0001 2237 7915,"-22.91111111111111,-43.205555555555556",https://www.wikidata.org/entity/Q3011938,Q3011938,http://dbpedia.org/resource/Universidade_Federal_do_Estado_do_Rio_de_Janeiro,Universidade_Federal_do_Estado_do_Rio_de_Janeiro,River of the January,3304557,1260.029215,"-22.91111111111111,-43.205555555555556",https://www.wikidata.org/entity/Q8678,Q8678,https://dbpedia.org/resource/Rio_de_Janeiro,https://sws.geonames.org/3451190,3451190,River of the January,43696.1,"-22.033333333333335,-42.7",https://www.wikidata.org/wiki/Q8678,Q8678,http://dbpedia.org/resource/Rio_de_Janeiro,http://www.geonames.org/3451189,3451189,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0017,UDESC - campus  Florianópolis,UDESC,Universidade do Estado de Santa Catarina,Campus  Florianópolis,,,,,,,CID0004,Florianópolis,Santa Catarina,Brasil,https://www.udesc.br/,Universidade do Estado de Santa Catarina,0000 0001 2150 7271,"-27.593280555556,-48.553047222222",https://www.wikidata.org/entity/Q3551702,Q3551702,http://dbpedia.org/resource/Universidade_do_Estado_de_Santa_Catarina,Universidade_do_Estado_de_Santa_Catarina,Florianopolis,4205407,675.409,"-27.593280555556,-48.553047222222",https://www.wikidata.org/entity/Q132997,Q132997,https://dbpedia.org/resource/Florianópolis,https://sws.geonames.org/3463237,3463237,Holy Catharina,95730.7,"-27.27,-50.49",https://www.wikidata.org/wiki/Q41115,Q41115,http://dbpedia.org/resource/Santa_Catarina,http://www.geonames.org/3450387,3450387,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0018,UVA - campus em Charlottesville,UVA,Universidade de Virginia,Campus em Charlottesville,,,,,,,CID0012,Charlottesville,Virgínia,Estados Unidos da América,https://www.virginia.edu/,University of Virginia,0000 0000 9136 933X,"38.0299,-78.479",https://www.wikidata.org/entity/Q213439,Q213439,http://dbpedia.org/resource/Universidade_da_Virgínia,Universidade_da_Virgínia,Charlottesville,,26.569159,"38.0299,-78.479",https://www.wikidata.org/entity/Q123766,Q123766,https://dbpedia.org/resource/Charlottesville,https://sws.geonames.org/4752031,4752031,Virginia,110862,"37.5,-79",https://www.wikidata.org/wiki/Q1370,Q1370,http://dbpedia.org/resource/Virgínia,http://www.geonames.org/6254928,6254928,United States of America,9826675,"39.828175,-98.5795",http://www.wikidata.org/entity/Q103971355,Q103971355,http://dbpedia.org/resource/Estados_Unidos,http://www.geonames.org/6252001,6252001
,,,,,,,,,,,,,,,,,,,,,,,,,26.570336,,,,,,,,,,,,,,,,,,,,,,
